name,category,molecular_weight,logp,tpsa,h_bond_donors,h_bond_acceptors,rotatable_bonds,heavy_atoms,rings,aromatic_rings,tsne_x,tsne_y
Aspirin,NSAIDs,180.15899999999996,1.3101,63.60000000000001,1,3,2,13,1,1,83.58578,12.978756
Ibuprofen,NSAIDs,206.28499999999997,3.073200000000001,37.3,1,1,4,15,1,1,49.01117,-181.3518
Naproxen,NSAIDs,230.26299999999998,3.036500000000001,46.53,1,2,3,17,2,2,42.392563,-343.133
Diclofenac,NSAIDs,296.153,4.364100000000001,49.33,2,2,4,19,2,2,-263.97565,-119.219025
Indomethacin,NSAIDs,285.73,4.060900000000003,42.09,1,2,3,20,3,3,53.511658,-538.2571
Morphine,Opioids,323.39200000000005,3.1254000000000017,52.93000000000001,2,4,1,24,5,2,351.4586,348.02295
Tramadol,Opioids,233.35499999999993,2.6260000000000012,23.47,1,2,3,17,2,1,-322.36172,143.8335
Caffeine,Stimulants,194.194,-1.0293,61.82,0,6,0,14,2,2,310.29257,33.464966
Amphetamine,Stimulants,135.20999999999998,1.5763,26.02,1,1,2,10,1,1,-71.3805,-68.900536
Modafinil,Stimulants,259.33000000000004,1.9464999999999997,60.160000000000004,1,2,4,18,2,2,-114.08235,92.79085
Methylphenidate,Stimulants,237.299,1.5859,38.769999999999996,0,4,5,17,1,1,-162.54613,-376.7057
Fluoxetine,Antidepressants,309.33099999999996,4.435000000000003,21.259999999999998,1,2,6,22,2,2,-172.62381,372.8135
Sertraline,Antidepressants,306.236,5.179600000000004,12.03,1,1,2,20,3,2,-466.07477,-234.60635
Venlafaxine,Antidepressants,261.40899999999993,3.8488000000000033,12.47,0,2,5,19,2,1,54.19555,266.7858
Escitalopram,Antidepressants,324.39900000000006,3.812980000000003,36.26,0,3,5,24,3,2,-635.73157,102.28872
Ciprofloxacin,Antibiotics,331.34700000000004,1.5833,74.57,2,5,3,24,4,2,-229.07722,-731.75574
Amoxicillin,Antibiotics,365.4110000000001,0.023700000000000443,132.96,4,6,4,25,3,1,413.73938,-515.38904
Azithromycin,Antibiotics,784.0410000000002,5.459000000000008,148.52,1,13,11,55,4,0,-495.85052,491.11954
Acyclovir,Antivirals,151.129,-0.7716000000000003,100.44999999999999,3,4,0,11,2,2,488.47833,-38.98905
Oseltamivir,Antivirals,312.41,1.2853999999999997,90.64999999999999,2,5,7,22,1,0,297.56836,-250.21846
Remdesivir,Antivirals,590.5740000000002,2.068479999999999,182.46,3,13,13,41,4,3,95.42649,636.0875
